content,polarity
"I love it except, and this is a big issue for me, it's totally server based. Want to update anything, but have a bad internet connection? Too bad, it's either going to take forever or fail. I would use and maybe even pay for this app to just have a way to have everything first be saved on my device. So, back to hunting for a to-do app. Edit 3/23: I have to drop my review on this to 1 star. You can manually edit values within the app for stats making any it unreasonable that I need internet.",0
it is so stupid that i have to be coneccted to my calender and cant just create what i want. to much work not worth it,0
Not what I thought it was... This only blocks out time for your calendars. I was looking for something that would help with daily routines. 😕. I even tried to use the calendar before giving up... But it refused to sync. So it's useless,0
Confusing,0
"Widget has been broken with the latest update, keeps reverting back to the My Day view and then once it does that the button at the top left doesn't work anymore and so can't be switched to show other lists without removing the widget and recreating it, please fix!",0
Recently it crashes in background,0
"This app is a prime example of building a mountain out of a mold hill. The developer does not knot how to make it simple & friendly. The app is very chaotic. Completed tasks do not go away after pressed completed. If deleted from today's list, tasks that have a repeat schedule also disappeared forever. The only reminder this app does right is to remind me how frustrating it is to use. I have uninstalled it on all my phones.",0
"No Resent Updates, no Local Backup Option. Other than that it's Good.",0
fun and helpful. graphics are awesome. just needs a few tweaks. too easy to cheat. i don't like the tavern because i am in recovery from drugs and alcohol so it's kinda anthemic. maybe a temple option would be a better social forum for inclusion for those of us who don't drink and/or use drugs. it would also be nice if you could continue to see completed to-do items after you have checked them so you can continue to visualize your progress.,0
"They have clearly made this app about data mining, it use to be very good but now it just wants access to unnecessary information to work properly.",0
"Doesn't allow you to sort completed tasks. I have a single grocery list with 300 tasks in it's completed section that's named by section using tags like ""Produce - onions"". I used to be able to sort completed tasks alphabetically making it easy to have a running list where I could add back frequently purchased items. Now everything is lost automatically placed in completed tasks by completion chronology. Is a pain.",0
expensive,0
No Google tasks integration.,0
Difficult login forces work or school address. Lost Wunderlist lists as a result,0
"You've had all this time since you started ""fresh"" when you couldn't make Wunderlist do what you want and you still have syncing issues. Write some goddamn integration tests. Syncing should be the most basic functionality that you focus on since without it the app is actually useless.",0
"It's good but for some reason, it keeps switching around everything. And I can't seem to move them around, so I have to delete them and start again. A bit frustrating but has a great purpose.",0
I don't understand why it's not letting me type in it. It gets hanged everytime. I meant that amake ora onek birokto kortese....sorry I speak only Bahamian,0
Something weird is happening! I got a message saying that my tree has grown even if I didn't grow one ( after I click on give up button) or even started a new one afterwards!!?? Why this is happening??!!,0
not a bad app but DONT pay for the premium. The widgets dont work!!,0
It won't let me remove my subscription,0
Suddenly the app will stop working and I have to reinstall it again. And each time I install this app I'm loosing my data . App is excellent but this issue is horrible. I already sent mail addressing this issue but no response and same thing is repeating. I'm facing the same problem again. It's horrible. It's becoming worst it's not at all working,0
Wish I could sync it across multiple devices :(,0
You cannot change the default online calendar. This does me no good to only have multiple local calendars.,0
pangit,0
The alarm doesn't work,0
Купил версию Pro. Сменился телефон. Что покупать снова? Тогда зачем такое приложение?,0
"No Resent Updates, no Local Backup Option. Other than that it's Good.",0
MS has screwed up wunderlist the same as to skype.... So clunky and average poorly thought out; should have just changed wunderlists logo and colour scheme. The desktop version is slow (10s) to respond. You can be doing changes on the desktop and it get jammed up with app.,0
Switching from one list to another stinks. Otherwise helpful,0
I wish there was a clearer distinction between the Pro and Free modes. All the popups I found during exploration just deterred me and I found the timer didn't even work properly. It was pretty though and I like the concept.,0
"No free trial, cant even try it, JUNK. then they spam you forever",0
"Was good on Windows mobile, then later became guglifyied and useless. Pass.",0
Lots of In-app purchases ... Not worth the time .,0
"This app was great, but now in 14.1.0 I can no longer click on a project and see all of its sub-projects and their tasks at once. This is a stupidly frustrating change and it completely messes up how I use the app. Why not make this a setting I can change back, OR leave it alone altogether? I will be manually rolling this app back. Thanks for making more work for me guys. SERIOUSLY STUPID ""UPDATE"".",0
It's been months and I still cannot delete this one habit. It will not delete and nothing I've been sent has been helpful to figure out why. About ready to find a different app cause it's driving me nuts.,0
Mixed great app but don't by premium. Won't work without play services and developer unresponsive,0
"I'm sure it would be great if it didn't pick and chose what events to display from my calendar. I have multiple events logged in my calendar, the only calendar it's synced to and the only calendar those events are logged on, yet just one of them shows up. It has a lovely design, but that doesn't mean anything when the app doesn't actually work for what it's intended for.",0
Used to be my favorite app! Changed phones and it doesn't recognize my premium purchase. I've been emailing for support for two months with no response. So disappointed.,0
Be aware: if you purchase the paid version and then try to cancel within the 14 days trial. You won't be able to. They only reply once a day if you contact them and every time you contact them you have to explain that you want to cancel the service making the days passed by and after a while they just stop replying back. Using these shady tactics to make the 14 days goes by so you can't cancel after that. This company is a joke!,0
"I have been using this for more than a year now, it was great, this is where i jot down notes on my classes and meetings, but this new update may have a bug i cant access it even with the correct pin i have entered Pls fix this issue, thanks",0
After purchase of pro version I lost all of my 500+ coins.,0
"I'm at awe how the tick tick guys keep managing to destroy a perfectly working app by having to redesign it every once in a while just for the sake of saying that they're keeping the app running. Now I can't delete the messages because it's almost barely visible once I push the three dots or lines on the tasks and there is no way to scroll the choices to see the delete option. Please, for the love of gods, don't work so hard to ruin a perfectly functioning software. I'd love to ask, just why?",0
"This is the only Microsoft app with no support for proper status bar and navigation bar colouring, the devs working on this app are lazy af especially compared to the ones working on the outlook and onedrive app",0
two stars bc i have adhd AND i REALLY wanted it to work. it isn't user friendly and i can't give it the time of day to sit and figure it out. I'll try again later.... maybe this fall?,0
Super glitchy. Too frustrating to bother trying to use it.,0
"The app was an okay task organizer at best, although it required internet and was ridden with adds and paywalls for a monthly ""premium"" subscription. Even if they asked for support, id prefer a one time payment of a higher amount like, $5 to unlock all features.",0
the app requires premium membership to use the widget. defeats the point for me,0
I like the way it's present itself but advantage if your not getting any notification ring ......in the system I allowed everything I needed too but still it's not working out,0
"The layout was horrible, the events and the scheduled items don't sync.",0
"I love the app, but it won't sync.",0
"Need to be online to use this app. In case you make changes in offline mode. It doesn't sync automatically when online. You need to again make those changes. Enable offline feature and offline data should be synced when ever we are online. Once this is done, you got my 5 star.",0
"I'm shocked and disappointed to see that suddenly my records from the past few days were gone, it was okay last night but when I opened the app, my trees were gone. I availed the premium version of this app, but I didn't see this errors coming. Please let me understand why it happened.",0
"I like the app, but for the past day I haven't got any notifications.",0
New update has ruined the app...the reminder option is no longer available with ringtones...why the heck should I keep this app now in my phone... deleting....,0
"Idk what happened, but from the start app was just alright, and it was very nice and I was happy that i found it. But since a few hours it just stopped working! When I'm trying to complete the task it just doesn't count. The mark is appears, but several seconds later it vanishes!!! And also when I'm trying to complete a part of assignment it doesn't count. Please fix :(",0
I still can't sign up or log in. Store is empty and it crashes when I press the premium tags in store. Connection errors(Tells me im not connected to a network). Deep Focus still lets me browse other apps.,0
"Mostly OK. Needs option to disallow delete of notifications. Only when the notification is Snoozed or marked as Completed should the notification be cleared. Also, once the notification is deleted there is no way to then go into the app and set a snooze time for the task to realert.",0
I couldn't even log in,0
I was looking forward to using this app. But it wont even let me pick out an avatar. Things just go blank on the app and tells me I'm missing information when I clearly am not. What a bummer,0
It is very awkward cauz you need to give it a proper plan,0
"Worst app I have ever used, it doesn't do anything.",0
Only for singlr use.. cant assign task and sub task to others,0
"Seems like it could be very helpful. Getting very frustrated with it always opening on monthly view even though I have weekly view selected in settings. Even tried switching it, but no matter what opens on monthly",0
"Can't even start it properly. Just says ""Path 'profile.name' is required.""",0
This used to be a very good calendar app with plenty of good features in the free version already. Unfortunately they introduced intrusive full-screen ads recently to force you into buying the premium version. I'll rather switch to another calendar app than be blackmailed like that.,0
"I have used this app for a couple of years now and it was great. It had small banner ads before, however recently they have incorporated video ads which play every time you input a new plan. This is incredibly tedious and a massive waste of time. DO NOT DOWNLOAD.",0
That app is good but I could not benifit,0
"I like the app, but I have to give it one star now because the notifications stopped working after some recent update (Mi 9, MIUI 12) and the support doesn't answer my questions.",0
Want to like it. So far half of the set up items aren't even showing up for my samsung s8. All the purple screens are blank. Was excited to try but it doesn't work.,0
Was good. But not keeping up with the world. Having font size a pay feature with today's high resolution displays make the text so tiny that it can't be read. So in order to use the free version I have to pay for it.,0
Did not sign up. App not even on my phone. This payment deduction will be reported and I request you refund my money immediately.,0
After installing this app my phone received an increased amount of spam calls. After removing the app from my phone I received fewer spam calls. It might be a coincidence... But it might not be.,0
"Doesn't sync reliably, and that's one of the most critical features for a calendar app.",0
"I have been using this for more than a year now, it was great, this is where i jot down notes on my classes and meetings, but this new update may have a bug i cant access it even with the correct pin i have entered Pls fix this issue, thanks",0
I just installed this app and it's always on landscape view. Please fix this soon. Thank you!,0
I can press middle button and start using Instagram and still count down continues,0
"Horrible the app crashed and I was never able to open it. I had it for weeks and whenever I opened it, it crashed .",0
"Pro user here: I have 2 issues 1. After I clear/kill the app (swipe away in the multi-task mode) the Forest app ceases to work and I can use any other app. Please fix this. (Pixel 2 user) 2. Why can't Pro-users watch an Ad to double their coins? We should have the liberty to avail this feature too. I used to double my coins (by watching 30 second ads) before I paid for the app, and now I can't do it anymore. That's not fair.",0
Please give us a way of disabling the red notification dot. It serves no purpose if I can't tell what it's for. Get rid of it or make it more clear what it's indicating. UX should never be an afterthought.,0
"It works! Does what it's supposed to do, although I don't require any features other than setting an appointment/event, and being reminded of it. Unobtrusive, even when using it as a free version only. I'll probably upgrade to PRO just to reward the developer. Edit: The new 30 second ads really screw this up.",0
"If you want to use it properly, you have to pay for the Pro version. It is not user-friendly.",0
DO NOT BUY PREMIUM Version!! App stopped synching 7/27/2019 and is no longer supported. I got Premium to sync to new phone since I've been using the app for over a year and wanted to keep tracking. $10 wasted! Very disappointing because basic version is great - simple but fully functional and effective for tracking up to 5 habits. Good visuals and the ability to make notes. Premium = tracking >5 habits and syncing across devices but no more! Would be 4 stars if still supported and worked.,0
"This is an expensive app. That being said, it's the most low-rent experience you can imagine. For example, when you create a list item and need to edit it, you're completely out of luck because that can't happen. The best you can do is delete it and type it in (again) correctly since edit is not an option. By the way, deleting an item from your list is a multi multi step process. (update: developer noted that editing was possible (though, multiple steps required), item deletes still impossible)",0
The notification sound isn't coming with this version whether I close or keep the app open. I checked all my phone notification settings and also the app settings. All are on sound yet there is no sound alert after completion of the tree plantation. This is very inconvenient. Please rectify.,0
the current day shows events for the next day and seemingly no option to change it. very annoying.,0
